run,criteria,thresholds,stopping_measurement_idx,num_measurements_at_stopping,position_error,constant_bias_error,linear_bias_error
1,GDOP,G2.0,48,49,0.6752191291586986,0.03299509930125651,0.013199680920683576
1,GDOP,G3.0,43,44,0.9736526346977783,0.03168478193788442,0.013199680920683576
1,GDOP,G4.0,43,44,0.9736526346977783,0.03168478193788442,0.013199680920683576
1,GDOP,G5.0,43,44,0.9736526346977783,0.03168478193788442,0.013199680920683576
1,residuals,R50.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,residuals,R100.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,residuals,R150.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,residuals,R200.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,nb_measurements_GDOP,NM30_G2.0,30,31,0.9325973194366058,0.027484315996519283,0.013199680920683576
1,nb_measurements_GDOP,NM30_G3.0,30,31,0.9325973194366058,0.027484315996519283,0.013199680920683576
1,nb_measurements_GDOP,NM30_G4.0,30,31,0.9325973194366058,0.027484315996519283,0.013199680920683576
1,nb_measurements_GDOP,NM30_G5.0,30,31,0.9325973194366058,0.027484315996519283,0.013199680920683576
1,nb_measurements_residuals,NM30_R50.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,nb_measurements_residuals,NM30_R100.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,nb_measurements_residuals,NM30_R150.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,nb_measurements_residuals,NM30_R200.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G2.0_R100.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G3.0_R100.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G4.0_R100.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G5.0_R100.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G3.0_R50.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G3.0_R100.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G3.0_R150.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_residuals,G3.0_R200.0,19,20,2.1662982102798427,0.026235301982006545,0.013199680920683576
1,GDOP_condition_number,G2.0_CN500000.0,37,38,2.4807258490890147,0.03185187233259009,0.013199680920683576
1,GDOP_condition_number,G3.0_CN500000.0,37,38,2.4807258490890147,0.03185187233259009,0.013199680920683576
1,GDOP_condition_number,G4.0_CN500000.0,37,38,2.4807258490890147,0.03185187233259009,0.013199680920683576
1,GDOP_condition_number,G5.0_CN500000.0,37,38,2.4807258490890147,0.03185187233259009,0.013199680920683576
